date,J,Q,ET,Cin,measC_Q,wi
30-Sep-2012 00:00:00,0,0.04,0,56.03,50.07,0.379634410823089
30-Sep-2012 01:00:00,0,0.04,0,56.02,NaN,0.379496712451372
30-Sep-2012 02:00:00,0,0.04,0,56.02,NaN,0.379359014079655
30-Sep-2012 03:00:00,0,0.04,0,56.02,NaN,0.379221315707939
30-Sep-2012 04:00:00,0,0.04,0,56.01,NaN,0.379083617336222
30-Sep-2012 05:00:00,0,0.04,0,56.01,NaN,0.378945918964505
30-Sep-2012 06:00:00,0,0.04,0,56.01,NaN,0.378808220592788
30-Sep-2012 07:00:00,0,0.04,0.01,56.01,NaN,0.378670522221072
30-Sep-2012 08:00:00,0,0.04,0.02,56,NaN,0.378498399256426
30-Sep-2012 09:00:00,0,0.04,0.02,56,NaN,0.37829185169885
30-Sep-2012 10:00:00,0,0.04,0.04,56,NaN,0.378085304141275
30-Sep-2012 11:00:00,0,0.04,0.05,55.99,NaN,0.377809907397842
30-Sep-2012 12:00:00,0,0.04,0.06,55.99,NaN,0.377500086061479
30-Sep-2012 13:00:00,0,0.04,0.07,55.99,NaN,0.377155840132187
30-Sep-2012 14:00:00,0,0.04,0.08,55.98,NaN,0.376777169609966
30-Sep-2012 15:00:00,0,0.04,0.09,55.98,NaN,0.376364074494816
30-Sep-2012 16:00:00,0,0.04,0.06,55.98,NaN,0.375916554786736
30-Sep-2012 17:00:00,0,0.04,0.04,55.97,NaN,0.375572308857445
30-Sep-2012 18:00:00,0,0.04,0.01,55.97,NaN,0.375296912114011
30-Sep-2012 19:00:00,0,0.04,0.02,55.97,NaN,0.375124789149365
30-Sep-2012 20:00:00,0,0.03,0.02,55.96,NaN,0.37491824159179
30-Sep-2012 21:00:00,0,0.03,0.02,55.96,NaN,0.374746118627144
30-Sep-2012 22:00:00,0,0.03,0.02,55.96,NaN,0.374573995662498
30-Sep-2012 23:00:00,0,0.03,0.02,55.96,NaN,0.374401872697852
01-Oct-2012 00:00:00,0,0.03,0.02,55.95,NaN,0.374229749733206
01-Oct-2012 01:00:00,0,0.03,0.03,55.95,NaN,0.37405762676856
01-Oct-2012 02:00:00,0,0.03,0.03,55.95,NaN,0.373851079210985
01-Oct-2012 03:00:00,0,0.03,0.03,55.94,NaN,0.37364453165341
01-Oct-2012 04:00:00,0,0.03,0.03,55.94,NaN,0.373437984095835
01-Oct-2012 05:00:00,0,0.03,0.03,55.94,NaN,0.37323143653826
01-Oct-2012 06:00:00,0,0.03,0.04,55.93,NaN,0.373024888980685
01-Oct-2012 07:00:00,0,0.03,0.04,55.93,NaN,0.37278391683018
01-Oct-2012 08:00:00,0,0.03,0.04,55.93,NaN,0.372542944679676
01-Oct-2012 09:00:00,0,0.03,0.04,55.92,NaN,0.372301972529172
01-Oct-2012 10:00:00,0,0.03,0.06,55.92,NaN,0.372061000378667
01-Oct-2012 11:00:00,0,0.03,0.08,55.92,NaN,0.371751179042305
01-Oct-2012 12:00:00,0,0.03,0.1,55.91,NaN,0.371372508520084
01-Oct-2012 13:00:00,0,0.03,0.1,55.91,NaN,0.370924988812004
01-Oct-2012 14:00:00,0,0.03,0.09,55.91,NaN,0.370477469103925
01-Oct-2012 15:00:00,0,0.03,0.08,55.9,NaN,0.370064373988774
01-Oct-2012 16:00:00,0,0.03,0.06,55.9,NaN,0.369685703466553
01-Oct-2012 17:00:00,0,0.03,0.04,55.9,NaN,0.369375882130191
01-Oct-2012 18:00:00,0,0.03,0.02,55.9,NaN,0.369134909979686
01-Oct-2012 19:00:00,0,0.03,0.02,55.89,NaN,0.36896278701504
01-Oct-2012 20:00:00,0,0.03,0.02,55.89,NaN,0.368790664050394
01-Oct-2012 21:00:00,0,0.03,0.02,55.89,NaN,0.368618541085748
01-Oct-2012 22:00:00,0,0.03,0.02,55.88,NaN,0.368446418121103
01-Oct-2012 23:00:00,0,0.03,0.02,55.88,NaN,0.368274295156457
02-Oct-2012 00:00:00,0,0.03,0.03,55.88,NaN,0.368102172191811
02-Oct-2012 01:00:00,0,0.03,0.03,55.87,NaN,0.367895624634235
02-Oct-2012 02:00:00,0,0.03,0.03,55.86,NaN,0.36768907707666
02-Oct-2012 03:00:00,0,0.03,0.03,55.86,NaN,0.367482529519085
02-Oct-2012 04:00:00,0,0.03,0.03,55.85,NaN,0.36727598196151
02-Oct-2012 05:00:00,0,0.03,0.04,55.84,NaN,0.367069434403935
02-Oct-2012 06:00:00,0,0.03,0.04,55.84,NaN,0.366828462253431
02-Oct-2012 07:00:00,0,0.03,0.04,55.83,NaN,0.366587490102926
02-Oct-2012 08:00:00,0,0.03,0.04,55.83,NaN,0.366346517952422
02-Oct-2012 09:00:00,0,0.03,0.04,55.82,NaN,0.366105545801918
02-Oct-2012 10:00:00,0,0.03,0.08,55.81,NaN,0.365864573651413
02-Oct-2012 11:00:00,0,0.03,0.12,55.81,NaN,0.365485903129192
02-Oct-2012 12:00:00,0,0.03,0.15,55.8,NaN,0.364969534235254
02-Oct-2012 13:00:00,0,0.03,0.16,55.79,NaN,0.364349891562529
02-Oct-2012 14:00:00,0,0.03,0.16,55.79,NaN,0.363695824296874
02-Oct-2012 15:00:00,0,0.03,0.16,55.78,NaN,0.36304175703122
02-Oct-2012 16:00:00,0,0.03,0.11,55.78,NaN,0.362387689765565
02-Oct-2012 17:00:00,0,0.03,0.07,55.77,NaN,0.361905745464557
02-Oct-2012 18:00:00,0,0.03,0.02,55.76,NaN,0.361561499535265
02-Oct-2012 19:00:00,0,0.03,0.02,55.76,NaN,0.361389376570619
02-Oct-2012 20:00:00,0,0.03,0.02,55.75,NaN,0.361217253605973
02-Oct-2012 21:00:00,0,0.03,0.02,55.74,NaN,0.361045130641327
02-Oct-2012 22:00:00,0,0.03,0.02,55.74,NaN,0.360873007676681
02-Oct-2012 23:00:00,0,0.03,0.01,55.73,NaN,0.360700884712035
03-Oct-2012 00:00:00,0,0.03,0.01,55.72,NaN,0.360563186340318
03-Oct-2012 01:00:00,0,0.03,0.01,55.72,NaN,0.360425487968602
03-Oct-2012 02:00:00,0,0.03,0.01,55.71,NaN,0.360287789596885
03-Oct-2012 03:00:00,0,0.03,0.01,55.71,NaN,0.360150091225168
03-Oct-2012 04:00:00,0,0.03,0,55.7,NaN,0.360012392853451
